วันที่,บาท/ลิตร,,,,,,
,ไฮ พรีเมียม ยูโร 5 ดีเซล S,ไฮดีเซล,ไฮ พรีเมียม ยูโร 5 แก๊สโซฮอล์ 95++ 97,แก๊สโซฮอล์ EVO E85s,แก๊สโซฮอล์ EVO E20s,แก๊สโซฮอล์ EVO 91s,แก๊สโซฮอล์ EVO 95s
24/12/2568,45.64,30.44,49.54,27.09,29.14,30.98,31.35
21/10/2568,45.64,30.94,49.54,27.59,29.64,31.48,31.85
4/10/2568,45.64,31.44,49.84,27.89,29.94,31.78,32.15
24/09/2568,46.14,31.94,49.84,28.39,30.44,32.28,32.65
22/08/2568,46.14,31.94,49.84,28.69,30.74,32.58,32.95
9/8/2568,46.14,31.94,49.84,28.69,30.34,32.18,32.55
6/8/2568,46.14,31.94,49.84,28.99,30.64,32.48,32.85
5/8/2568,46.14,31.94,49.84,29.39,31.04,32.88,33.25
1/8/2568,46.14,31.94,49.84,28.99,30.64,32.48,32.85
24/07/2568,46.14,31.94,49.84,28.59,30.24,32.08,32.45
2/7/2568,46.14,31.94,49.84,28.99,30.64,32.48,32.85
26/06/2568,46.14,31.94,49.84,29.29,30.94,32.78,33.15
24/06/2568,46.14,31.94,49.84,29.79,31.44,33.28,33.65
20/06/2568,46.14,31.94,49.54,29.39,31.04,32.88,33.25
13/06/2568,46.14,31.94,49.24,29.09,30.74,32.58,32.95
22/05/2568,46.14,31.94,48.84,28.69,30.34,32.18,32.55
12/4/2568,46.14,31.94,48.84,28.99,30.64,32.48,32.85
9/4/2568,46.14,31.94,48.84,29.29,30.94,32.78,33.15
4/4/2568,46.14,31.94,48.84,29.79,31.44,33.28,33.65
28/03/2568,46.64,32.44,49.34,30.29,31.94,33.78,34.15
11/3/2568,47.14,32.94,49.84,30.79,32.44,34.28,34.65
6/3/2568,47.14,32.94,49.84,31.19,32.74,34.58,34.95
28/02/2568,47.14,32.94,49.84,31.69,33.14,34.98,35.35
20/02/2568,47.14,32.94,49.84,32.09,33.44,35.28,35.65
6/2/2568,47.14,32.94,49.84,32.09,33.14,34.98,35.35
23/01/2568,47.14,32.94,49.84,32.59,33.54,35.38,35.75
15/01/2568,47.14,32.94,49.84,33.09,33.94,35.78,36.15
11/1/2568,47.14,32.94,49.84,33.09,33.44,35.28,35.65
3/1/2568,47.14,32.94,49.84,33.59,33.84,35.58,35.95
