วันที่,บาท/ลิตร,,,,,,
,ไฮ พรีเมียม ยูโร 5 ดีเซล S,ไฮดีเซล,ไฮ พรีเมียม ยูโร 5 แก๊สโซฮอล์ 95++ 97,แก๊สโซฮอล์ EVO E85s,แก๊สโซฮอล์ EVO E20s,แก๊สโซฮอล์ EVO 91s,แก๊สโซฮอล์ EVO 95s
24/12/2564,34.46,28.44,-,23.74,29.64,30.88,31.15
22/12/2564,34.06,28.04,-,23.44,29.14,30.38,30.65
15/12/2564,34.46,28.44,-,23.59,29.44,30.68,30.95
10/12/2564,34.26,28.24,-,23.39,29.04,30.28,30.55
2/12/2564,33.86,27.84,-,22.99,28.44,29.68,29.95
1/12/2564,34.26,28.24,-,23.29,28.94,30.18,30.45
29/11/2564,34.26,28.24,-,23.29,28.94,30.18,30.45
24/11/2564,34.86,28.84,-,23.69,29.54,30.78,31.05
20/11/2564,35.06,29.24,-,24.09,30.14,31.38,31.65
19/11/2564,35.36,29.54,-,24.29,30.54,31.78,32.05
16/11/2564,35.36,29.74,-,24.44,30.84,32.08,32.35
10/11/2564,35.56,29.94,-,24.44,31.04,32.28,32.55
1/11/2564,35.06,29.69,-,24.44,31.04,32.28,32.55
28/10/2564,35.06,29.69,-,24.44,31.04,32.28,32.55
23/10/2564,34.46,29.29,-,24.04,30.44,31.68,31.95
20/10/2564,34.46,29.29,-,23.84,30.04,31.28,31.55
19/10/2564,34.46,29.49,-,23.84,30.24,31.48,31.75
16/10/2564,33.66,28.89,-,23.44,29.64,30.88,31.15
15/10/2564,33.66,28.89,-,23.44,29.64,30.88,31.15
11/10/2564,33.06,28.29,-,23.44,29.64,30.88,31.15
5/10/2564,35.06,30.29,-,23.44,29.64,30.88,31.15
30/09/2564,36.06,31.29,-,23.44,29.64,30.88,31.15
28/09/2564,35.46,30.69,-,23.24,29.24,30.48,30.75
24/09/2564,35.06,30.29,-,23.04,28.84,30.08,30.35
18/09/2564,34.66,29.89,-,22.89,28.54,29.78,30.05
16/09/2564,34.36,29.59,-,22.59,28.04,29.28,29.55
15/09/2564,34.36,29.59,-,22.59,28.04,29.28,29.55
4/9/2564,33.86,29.09,-,22.44,27.74,28.98,29.25
26/08/2564,33.56,28.79,-,22.44,27.74,28.98,29.25
21/08/2564,33.06,28.29,-,22.14,27.24,28.48,28.75
18/08/2564,33.66,28.89,-,22.54,27.84,29.08,29.35
12/8/2564,34.16,29.39,-,22.84,28.34,29.58,29.85
7/8/2564,33.76,28.99,-,22.64,27.94,29.18,29.45
30/07/2564,34.26,29.49,-,22.94,28.44,29.68,29.95
28/07/2564,33.86,29.09,-,22.74,28.04,29.28,29.55
23/07/2564,33.46,28.69,-,22.54,27.64,28.88,29.15
13/07/2564,34.06,29.29,-,22.94,28.24,29.48,29.75
10/7/2564,33.56,28.79,-,22.79,27.94,29.18,29.45
3/7/2564,34.06,29.29,-,22.79,27.94,29.18,29.45
26/06/2564,33.76,28.99,-,22.59,27.54,28.78,29.05
24/06/2564,33.56,28.79,-,22.44,27.24,28.48,28.75
16/06/2564,33.36,28.59,-,22.14,26.74,27.98,28.25
11/6/2564,33.36,28.59,-,22.14,26.74,27.98,28.25
26/05/2564,32.86,28.09,-,21.99,26.44,27.68,27.95
22/05/2564,32.26,27.49,-,21.59,25.84,27.08,27.35
19/05/2564,32.56,27.79,-,21.89,26.34,27.58,27.85
17/05/2564,32.06,27.29,-,21.59,25.84,27.08,27.35
13/05/2564,32.06,27.29,-,21.59,25.84,27.08,27.35
7/5/2564,32.36,27.59,-,21.79,26.24,27.48,27.75
30/04/2564,31.86,27.09,-,21.49,25.74,26.98,27.25
24/04/2564,31.46,26.69,-,21.29,25.34,26.58,26.85
20/04/2564,31.86,27.09,-,21.49,25.74,26.98,27.25
17/04/2564,31.26,26.49,-,21.09,25.14,26.38,26.65
31/03/2564,31.26,26.49,-,21.09,25.14,26.38,26.65
27/03/2564,30.96,26.19,-,20.79,24.64,25.88,26.15
24/03/2564,31.36,26.59,-,20.99,25.04,26.28,26.55
20/03/2564,31.56,26.89,-,21.14,25.34,26.58,26.85
18/03/2564,31.76,27.19,-,21.34,25.74,26.98,27.25
17/03/2564,32.16,27.59,-,21.54,26.14,27.38,27.65
16/03/2564,31.76,27.19,-,21.14,25.54,26.78,27.05
13/03/2564,31.76,27.19,-,21.14,25.54,26.78,27.05
9/3/2564,31.76,27.19,-,20.94,25.14,26.38,26.65
6/3/2564,31.16,26.59,-,20.54,24.54,25.78,26.05
3/3/2564,31.16,26.59,-,20.39,24.24,25.48,25.75
20/02/2564,31.46,26.99,-,20.54,24.54,25.78,26.05
17/02/2564,31.26,26.79,-,20.14,23.94,25.18,25.45
10/2/2564,30.76,26.29,-,20.14,23.94,25.18,25.45
6/2/2564,30.26,25.79,-,19.84,23.44,24.68,24.95
4/2/2564,29.96,25.49,-,19.69,23.14,24.38,24.65
19/01/2564,29.56,25.09,-,19.49,22.74,23.98,24.25
16/01/2564,29.76,25.29,-,19.49,22.94,24.18,24.45
14/01/2564,29.36,24.89,-,19.29,22.54,23.78,24.05
12/1/2564,28.96,24.49,-,19.29,22.54,23.78,24.05
9/1/2564,28.96,24.49,-,18.99,22.04,23.28,23.55
6/1/2564,28.66,24.19,-,18.84,21.74,22.98,23.25
