วันที่,บาท/ลิตร,,,,,,
,ไฮ พรีเมียม ยูโร 5 ดีเซล S,ไฮดีเซล,ไฮ พรีเมียม ยูโร 5 แก๊สโซฮอล์ 95++ 97,แก๊สโซฮอล์ EVO E85s,แก๊สโซฮอล์ EVO E20s,แก๊สโซฮอล์ EVO 91s,แก๊สโซฮอล์ EVO 95s
20/12/2567,47.14,32.94,49.84,33.89,34.14,35.88,36.25
17/12/2567,47.14,32.94,49.84,34.19,34.44,36.18,36.55
13/12/2567,47.14,32.94,49.84,33.79,34.04,35.78,36.15
10/12/2567,47.14,32.94,49.84,33.39,33.64,35.38,35.75
3/12/2567,47.14,32.94,49.84,33.69,33.94,35.68,36.05
26/11/2567,47.14,32.94,49.84,33.99,34.24,35.98,36.35
20/11/2567,47.14,32.94,49.84,33.59,33.84,35.58,35.95
14/11/2567,47.14,32.94,49.84,33.29,33.54,35.28,35.65
7/11/2567,47.14,32.94,49.84,33.59,33.84,35.58,35.95
5/11/2567,47.14,32.94,49.84,33.19,33.44,35.18,35.55
31/10/2567,47.14,32.94,49.84,32.89,33.14,34.88,35.25
26/10/2567,47.14,32.94,49.84,33.39,33.64,35.38,35.75
17/10/2567,47.14,32.94,49.84,33.09,33.34,35.08,35.45
12/10/2567,47.14,32.94,49.84,33.59,33.84,35.58,35.95
8/10/2567,47.14,32.94,49.84,33.29,33.54,35.28,35.65
5/10/2567,47.14,32.94,49.84,32.89,33.14,34.88,35.25
1/10/2567,47.14,32.94,49.84,32.59,32.84,34.58,34.95
28/09/2567,47.14,32.94,49.84,32.89,33.14,34.88,35.25
20/09/2567,47.14,32.94,49.84,33.39,33.64,35.38,35.75
10/9/2567,47.14,32.94,49.84,32.99,33.24,34.98,35.35
6/9/2567,47.14,32.94,49.84,33.49,33.74,35.48,35.85
23/08/2567,47.14,32.94,49.84,33.99,34.24,35.98,36.35
20/08/2567,47.14,32.94,49.84,34.29,34.54,36.28,36.65
9/8/2567,47.14,32.94,49.84,34.69,34.94,36.68,37.05
6/8/2567,47.14,32.94,49.84,34.99,35.24,36.98,37.35
3/8/2567,47.14,32.94,49.84,35.39,35.64,37.38,37.75
1/8/2567,47.14,32.94,49.84,35.69,35.94,37.68,38.05
25/07/2567,47.14,32.94,49.84,35.99,36.24,37.98,38.35
10/7/2567,47.14,32.94,49.84,36.49,36.74,38.48,38.85
4/7/2567,47.14,32.94,49.84,36.79,37.04,38.78,39.15
29/06/2567,47.14,32.94,49.84,36.39,36.64,38.38,38.75
22/06/2567,47.14,32.94,49.84,36.09,36.34,38.08,38.45
20/06/2567,47.14,32.94,49.84,35.69,35.94,37.68,38.05
12/6/2567,47.14,32.94,49.84,35.39,35.64,37.38,37.75
6/6/2567,47.14,32.94,49.84,34.99,35.24,36.98,37.35
1/6/2567,47.14,32.94,49.84,35.49,35.74,37.48,37.85
31/05/2567,47.14,32.94,49.84,35.79,36.04,37.78,38.15
25/05/2567,46.64,32.44,49.84,35.79,36.04,37.78,38.15
17/05/2567,46.14,31.94,49.84,36.19,36.44,38.18,38.55
10/5/2567,45.64,31.44,49.84,36.59,36.84,38.38,38.95
8/5/2567,45.14,30.94,49.84,36.99,37.24,38.78,39.35
4/5/2567,45.14,30.94,49.84,37.49,37.74,39.28,39.85
27/04/2567,45.14,30.94,49.84,37.99,38.24,39.28,40.35
27/04/2567,45.14,30.94,49.84,37.99,38.24,39.28,40.35
23/04/2567,45.14,30.94,49.44,37.59,37.84,38.88,39.95
20/04/2567,45.14,30.94,49.44,37.99,38.24,38.88,40.35
18/04/2567,44.64,30.44,49.44,37.99,38.24,38.88,40.35
6/4/2567,44.64,30.44,49.44,37.59,37.84,38.48,39.95
4/4/2567,44.14,29.94,49.44,37.59,37.84,38.48,39.95
3/4/2567,43.64,29.94,49.44,37.19,37.44,38.08,39.55
26/03/2567,43.64,29.94,49.44,36.79,37.04,37.68,39.15
20/03/2567,43.64,29.94,49.44,36.29,36.54,37.18,38.65
19/03/2567,43.64,29.94,49.44,35.89,36.14,36.78,38.25
7/3/2567,43.64,29.94,49.44,35.49,35.74,36.38,37.85
5/3/2567,43.64,29.94,49.44,35.79,36.04,36.38,38.15
20/02/2567,43.64,29.94,49.44,36.09,36.34,36.68,38.45
16/02/2567,43.64,29.94,49.44,35.99,36.24,36.58,38.35
13/02/2567,43.64,29.94,49.94,35.99,35.84,36.18,37.95
31/01/2567,43.64,29.94,49.54,35.59,35.44,35.78,37.55
27/01/2567,43.64,29.94,49.24,35.29,35.14,35.48,37.25
25/01/2567,43.64,29.94,48.84,34.89,34.74,35.08,36.85
23/01/2567,43.64,29.94,48.34,34.39,34.24,34.58,36.35
20/01/2567,43.64,29.94,47.84,33.89,33.74,34.08,35.85
18/01/2567,43.64,29.94,47.54,33.59,33.44,33.78,35.55
16/01/2567,43.64,29.94,47.24,33.29,33.14,33.48,35.25
5/1/2567,43.64,29.94,46.74,32.79,32.64,32.98,34.75
