วันที่,บาท/ลิตร,,,,,,
,ไฮ พรีเมียม ยูโร 5 ดีเซล S,ไฮดีเซล,ไฮ พรีเมียม ยูโร 5 แก๊สโซฮอล์ 95++ 97,แก๊สโซฮอล์ EVO E85s,แก๊สโซฮอล์ EVO E20s,แก๊สโซฮอล์ EVO 91s,แก๊สโซฮอล์ EVO 95s
22/12/2565,43.66,34.94,42.54,32.69,32.54,34.18,34.45
21/12/2565,43.66,34.94,42.84,32.69,32.54,34.18,34.45
16/12/2565,43.66,34.94,42.84,32.99,32.84,34.48,34.75
15/12/2565,43.66,34.94,-,32.69,32.54,34.18,34.45
10/12/2565,43.66,34.94,-,32.39,32.24,33.88,34.15
9/12/2565,43.66,34.94,-,32.39,32.74,34.18,34.45
7/12/2565,43.66,34.94,-,32.39,33.04,34.48,34.75
3/12/2565,43.66,34.94,-,32.54,33.34,34.78,35.05
30/11/2565,43.66,34.94,-,32.24,33.04,34.48,34.75
26/11/2565,43.66,34.94,-,32.84,33.64,34.88,35.15
22/11/2565,43.66,34.94,-,33.54,34.34,35.18,35.45
17/11/2565,43.66,34.94,-,33.74,34.74,35.58,35.85
11/11/2565,43.66,34.94,-,33.84,35.04,35.88,36.15
8/11/2565,43.66,34.94,-,34.14,35.54,36.38,36.65
5/11/2565,43.66,34.94,-,33.64,35.04,35.88,36.15
4/11/2565,43.66,34.94,-,33.24,34.64,35.48,35.75
28/10/2565,43.66,34.94,-,32.84,34.24,35.08,35.35
22/10/2565,43.66,34.94,-,32.94,34.54,35.38,35.65
8/10/2565,43.66,34.94,-,32.44,34.04,34.88,35.15
1/10/2565,43.66,34.94,-,31.94,33.54,34.38,34.65
30/09/2565,43.66,34.94,-,31.64,33.04,33.88,34.15
28/09/2565,43.66,34.94,-,31.44,32.64,33.48,33.75
27/09/2565,43.66,34.94,-,31.84,33.24,34.08,34.35
23/09/2565,43.66,34.94,-,32.24,33.84,34.68,34.95
20/09/2565,43.66,34.94,-,31.94,33.34,34.18,34.45
17/09/2565,44.66,34.94,-,32.54,34.34,35.18,35.45
14/09/2565,44.66,34.94,-,32.74,34.74,35.58,35.85
10/9/2565,44.66,34.94,-,32.24,34.24,35.08,35.35
7/9/2565,44.66,34.94,-,32.64,34.84,35.68,35.95
3/9/2565,44.66,34.94,-,31.84,34.04,34.88,35.15
2/9/2565,45.66,34.94,-,32.34,34.84,35.68,35.95
25/08/2565,45.66,34.94,-,33.54,36.84,37.68,37.95
20/08/2565,45.66,34.94,-,33.04,36.04,36.88,37.15
18/08/2565,45.66,34.94,-,32.64,35.44,36.28,36.55
16/08/2565,46.16,34.94,-,32.94,35.94,36.78,37.05
9/8/2565,46.16,34.94,-,32.34,35.34,36.18,36.45
6/8/2565,46.16,34.94,-,32.94,36.34,37.18,37.45
4/8/2565,47.16,34.94,-,33.74,37.14,37.98,38.25
2/8/2565,47.86,34.94,-,34.14,37.54,38.38,38.65
28/07/2565,47.86,34.94,-,33.34,36.74,37.58,37.85
26/07/2565,47.86,34.94,-,32.54,35.94,36.78,37.05
23/07/2565,48.36,34.94,-,32.94,36.54,37.38,37.65
19/07/2565,48.86,34.94,-,33.34,37.14,37.98,38.25
15/07/2565,49.36,34.94,-,33.64,37.64,38.48,38.75
14/07/2565,49.36,34.94,-,34.14,38.44,39.28,39.55
9/7/2565,49.36,34.94,-,34.44,38.94,39.78,40.05
8/7/2565,49.36,34.94,-,35.34,40.44,41.28,41.55
2/7/2565,49.36,34.94,-,37.14,43.44,44.28,44.55
29/06/2565,49.36,34.94,-,37.54,44.04,44.88,45.15
22/06/2565,47.86,34.94,-,37.24,43.54,44.38,44.65
14/06/2565,47.86,34.94,-,37.54,44.04,44.88,45.15
8/6/2565,46.36,33.94,-,37.14,43.44,44.28,44.55
7/6/2565,46.36,33.94,-,36.84,42.94,43.78,44.05
1/6/2565,44.36,32.94,-,37.24,43.54,44.38,44.65
31/05/2565,44.36,32.94,-,36.74,42.74,43.58,43.85
28/05/2565,42.36,31.94,-,36.74,42.74,43.58,43.85
24/05/2565,42.36,31.94,-,36.34,42.34,43.18,43.45
20/05/2565,40.36,31.94,-,35.84,41.84,42.68,42.95
19/05/2565,40.36,31.94,-,35.84,41.84,42.68,42.95
16/05/2565,40.36,31.94,-,35.24,40.84,41.68,41.95
12/5/2565,39.36,31.94,-,34.24,40.24,41.08,41.35
7/5/2565,39.36,31.94,-,34.74,40.74,41.58,41.85
6/5/2565,39.36,31.94,-,34.24,39.94,40.78,41.05
4/5/2565,39.36,31.94,-,33.44,39.14,39.98,40.25
1/5/2565,37.96,31.94,-,32.84,38.54,39.38,39.65
29/04/2565,35.96,29.94,-,31.84,38.54,39.38,39.65
27/04/2565,35.96,29.94,-,31.04,37.74,38.58,38.85
23/04/2565,35.96,29.94,-,31.84,38.54,39.38,39.65
19/04/2565,35.96,29.94,-,31.24,37.94,38.78,39.05
9/4/2565,35.96,29.94,-,30.44,37.14,37.98,38.25
8/4/2565,35.96,29.94,-,31.04,37.74,38.58,38.85
5/4/2565,35.96,29.94,-,30.54,37.24,38.08,38.35
2/4/2565,35.96,29.94,-,31.14,37.84,38.68,38.95
31/03/2565,35.96,29.94,-,31.64,38.34,39.18,39.45
29/03/2565,35.96,29.94,-,32.24,38.94,39.78,40.05
26/03/2565,35.96,29.94,-,32.74,39.44,40.28,40.55
23/03/2565,35.96,29.94,-,32.14,38.84,39.68,39.95
22/03/2565,35.96,29.94,-,31.54,38.24,39.08,39.35
