วันที่,บาท/ลิตร,,,,,,
,ไฮ พรีเมียม ยูโร 5 ดีเซล S,ไฮดีเซล,ไฮ พรีเมียม ยูโร 5 แก๊สโซฮอล์ 95++ 97,แก๊สโซฮอล์ EVO E85s,แก๊สโซฮอล์ EVO E20s,แก๊สโซฮอล์ EVO 91s,แก๊สโซฮอล์ EVO 95s
17/03/2565,35.96,29.94,-,30.94,37.64,38.48,38.75
15/03/2565,35.96,29.94,-,31.94,38.64,39.48,39.75
10/3/2565,35.96,29.94,-,32.34,39.04,39.88,40.15
9/3/2565,35.96,29.94,-,31.54,38.24,39.08,39.35
8/3/2565,35.96,29.94,-,30.54,37.24,38.08,38.35
5/3/2565,35.96,29.94,-,29.94,36.64,37.48,37.75
4/3/2565,35.96,29.94,-,29.34,36.04,36.88,37.15
2/3/2565,35.76,29.74,-,28.74,35.44,36.28,36.55
26/02/2565,35.16,29.14,-,28.74,35.44,36.28,36.55
24/02/2565,34.56,28.54,-,28.34,35.04,35.88,36.15
19/02/2565,33.96,27.94,-,27.94,34.64,35.48,35.75
18/02/2565,33.96,27.94,-,28.34,35.04,35.88,36.15
16/02/2565,35.96,29.94,-,28.34,35.04,35.88,36.15
12/2/2565,35.96,29.94,-,27.74,34.44,35.28,35.55
8/2/2565,35.96,29.94,-,27.24,33.94,34.78,35.05
2/2/2565,35.96,29.94,-,26.74,33.44,34.28,34.55
28/01/2565,35.96,29.94,-,26.14,32.84,33.78,34.05
25/01/2565,35.96,29.94,-,25.54,32.24,33.28,33.55
20/01/2565,35.96,29.94,-,24.94,31.64,32.88,33.15
14/01/2565,35.86,29.84,-,24.64,31.14,32.38,32.65
11/1/2565,35.86,29.84,-,24.34,30.64,31.88,32.15
8/1/2565,35.46,29.44,-,24.14,30.24,31.48,31.75
5/1/2565,35.06,29.04,-,24.14,30.24,31.48,31.75
